"מספר בספר החינוך","תת-מספר","שם","קבוצה","סוג (עשה/לא תעשה)","החייבים במצוה","תדירות","רצון","ארוע","עצם או אדם","זמן החיוב","מקום החיוב","העונש למפר במזיד","העונש למפר בשוגג","המקור ביד החזקה - הלכות","המקור ביד החזקה - מספר המצוה","הערות","טעמי המצוה"
92,0,"לא לבשל בשר בחלב","בשר וחלב",0,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","אין","מאכלות אסורים","186",,"ישנן דברים שנאסר עירובם שהם נגד חפץ ה' האיסור הוא על ערבוב בשר וחלב גם אם לא אוכל אותו"
93,0,"לא לכרות ברית לשבעה עממין וכן לכל עובדי עבודה זרה","מלחמה בעובדי אלילים",0,"אדם מישראל","אדם",,,"עובד אלילים","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","עבודת כוכבים","48",,"לאבד עבודה זרה. שבעת העמים היו עיקר ע""ז ויסודה  הראשון"
94,0,"לא לשכון עובד אלילים בארצנו","מלחמה בעובדי אלילים",0,"אדם מישראל","אדם",,,"עובד אלילים","בכל זמן","רק בארץ ישראל","אין","אין","עבודת כוכבים","51",,"בשביל שלא נלמד  מכפירתם"
95,0,"מצוות בנין בית הבחירה","בניית המקדש",1,"ציבור","ארוע",,"כניסה לארץ","מקדש","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","בית הבחירה","20","המצווה מוטלת על הציבור כולו ולא על יחיד","להכשיר הלבבות לעבודתו"
96,0,"לא להוציא בדי הארון ממנו","ארון הקודש",0,"לוי","עצם",,,"כלי קודש","רק כשהמקדש קיים","בירושלים","מלקות","אין","כלי המקדש","86",,"הארון הוא כל עיקר כבודנו ונתחייבנו לנהוג בו כבוד והדר  ונצטוונו לא להוציא את הבדים כדי למנוע שבשעת חיפזון הכנסת הבדים תעשה ברישול והארון יפול"
97,0,"מצוות סידור לחם הפנים ולבונה","לחם הפנים",1,"ציבור","זמן",,"שבת","לחם קודש","רק כשהמקדש קיים","בירושלים","אין","אין","תמידין ומוספים","27",,"מצוה תמידית בלחם שבו יחיה האדם וע""כ צריכה להיות הברכה מצויה בו ומתוך עיסוק בלחם המבורך תחול הברכה אף על האדם"
98,0,"מצוות עריכת נרות המקדש","נרות המקדש",1,"ציבור","זמן",,"יום",,"רק כשהמקדש קיים","בירושלים","אין","אין","תמידין ומוספים","25","המבטל אותה -ביטל עשה","להיות נר דולק בבית המקדש להגדלת הבית לתפארת עני הרואים כדי שיכניס האדם בליבו שיראהו מורא וענוה"
99,0,"מצוות לבישת בגדי כוהנים","לבישת בגדי כהונה",1,"כהן","רצון","עבודה במקדש",,"כלי קודש","רק כשהמקדש קיים","בירושלים","מיתה בידי שמים","אין","כלי המקדש","33",,"הכהן לובש בגדים מיוחדים כדי שכל רגע בעבודתו יזכר לפני מי הוא עובד"
100,0,"לא יזח (יוסר) החושן מעל האפוד","קדושת בגדי כהונה",1,"אדם מישראל","עצם","לבישה",,"כלי קודש","רק כשהמקדש קיים","בירושלים","מלקות","חטאת קבועה","כלי המקדש","87",,"כדי שבית המקדש  יראה בתכלית השלמות אין זה ראוי שהחושן יהיה נע ונד אלא קבוע על מקומו"
101,0,"לא לקרוע המעיל של הכוהנים","קדושת בגדי כהונה",0,"אדם מישראל","עצם","לבישה",,"כלי קודש","רק כשהמקדש קיים","בכל מקום","מלקות","חטאת קבועה","כלי המקדש","88",,"הקריעה דבר גנאי והכהן צריך ללובשו באימה שמא יקרע"
102,0,"מצוות אכילת בשר חטאת ואשם","אכילת חטאת ואשם",1,"כהן","עצם",,,"חטאת","רק כשהמקדש קיים","בירושלים","אין","אין","מעשה הקרבנות","89",,"נצטוונו להתיחס לקרבנות דרך מעלה וכבוד ולכן המשרתים עצמם ראויים לאכל את הקרבן"
103,0,"מצוות הקטרת קטורת","הקטרת הקטורת",1,"ציבור","זמן",,"יום","קטורת","רק כשהמקדש קיים","בירושלים","אין","אין","תמידין ומוספים","28",,"להגדיל כבוד הביתו וענין הריח הטוב שהנפש נהנת ממנוומתאוה אליו ומושך הלב הרבה"
104,0,"לא להקטיר ולהקריב במזבח הזהב שבהיכל כי אם קטורת שבכל יום","מזבח הקטורת",0,"כהן","עצם","הקרבה",,"מזבח","רק כשהמקדש קיים","בירושלים","מלקות","חטאת קבועה","כלי המקדש","82",,"איננו צריכים לחפש טעמם של פרטי העבודה במקדש אלא לקבלם כהלכה משמים"
105,0,"מצוות נתינת מחצית השקל בשנה","מחצית השקל",1,"אדם מישראל","זמן",,"שנה",,"רק כשהמקדש קיים","בכל מקום","אין","אין","שקלים","171",,"רצה ה' לזכות את ישראל שלכולם יהיה יד שוה בדבר הקרבנות"
106,0,"מצוות הכהנים לקדש ידים ורגלים בשעת העבודה","נקיון הגוף במקדש",1,"כהן","רצון","עבודה במקדש",,"גוף","רק כשהמקדש קיים","בירושלים","מיתה בידי שמים","מיתה בידי שמים","ביאת המקדש","24","כהן שלא קידש ידיו ורגליו -עבודתו פסולה","להגדיל כבוד הבית שלפני מלאכות המקדש ראוי לנקות ידיים"
107,0,"מצוות משיחת כהן גדול ומלכי בית דוד בשמן המשחה","משיחה",1,"ציבור","רצון","המלכה",,"שמן המשחה","רק כשהמקדש קיים","רק בארץ ישראל","אין","אין","כלי המקדש","35","מצווה המוטלת על הציבור ככלל","רצה ה' שנעשה פעולה בנפשינו ביום שנעלה להתחנך בעבודת ה'"
108,0,"לא יסוך זר בשמן המשחה שעשה משה אלא כהנים בלבד","משיחת זרים",0,"אדם מישראל","עצם","שימוש",,"שמן המשחה","בכל זמן","בכל מקום","כרת","חטאת קבועה","כלי המקדש","84",,"להגדלת הכית שאין ראוי להדיוטות להשתמש באותו שמן נכבד"
109,0,"לא לעשות במתכונת שמן המשחה","מתכונת שמן המשחה",0,"אדם מישראל","רצון","יצירה",,"שמן המשחה","בכל זמן","בכל מקום","כרת","חטאת קבועה","כלי המקדש","83",,"להגדלת כבוד הבית שאין ראוי לזרים לעשותו"
110,0,"לא לעשות במתכונת הקטורת","מתכונת הקטורת",0,"אדם מישראל","רצון","יצירה",,"קטורת","בכל זמן","בכל מקום","כרת","חטאת קבועה","כלי המקדש","85",,"להגדלת כבוד הבית שאין ראוי לזרים לעשותה"
111,0,"לא לאכול ולשתות תקרובת עבודה זרה","אכילת תקרובת אלילים",0,"אדם מישראל","רצון","אכילה",,"אלילים","בכל זמן","בכל מקום","מלקות","חטאת קבועה","מאכלות אסורים","194",,"להרחיק ולסלק כל ענין עבודה זרה"
112,0,"מצוות שביתת הארץ - לבטל עבודת הארץ בשנה השביעית","שביתת אדמות בשביעית",1,"אדם מישראל","זמן","זריעה","7 שנים","אדמה חקלאית","רק כשהיובל נוהג","רק בארץ ישראל","אין","אין","שמיטה ויובל","81",,"לנוח בשביעי כמו שנח הקב""ה כדי לזכור את היסוד שה' ברא את העולם"
113,0,"לא לאכול בשר בחלב","בשר וחלב",0,"אדם מישראל","רצון","אכילה",,"חיות","בכל זמן","בכל מקום","מלקות","חטאת קבועה","מאכלות אסורים","187",,"בישול בשר וחלב הוא נגד  חפץ ה'"
114,0,"לא לבער אש בשבת / לא יעשו בית דין משפט מוות בשבת","אש בשבת",0,"שופט","זמן",,"שבת",,"רק כשהמקדש קיים","בכל מקום","אין","אין","שבת","322","אם יש בו מעשה ועדים והתראה-נסקלים  ובשוגג חיב חטאת","רצה ה' לכבד את יום השבת שימצאו בו מנוחה גם החוטאים והחייבים"
115,0,"מצוות מעשה העולה","הקרבת עולה",1,"כהן","רצון","הקרבה",,"חיות","רק כשהמקדש קיים","בירושלים","אין","אין","מעשה הקרבנות","63",,"אדם שחטא ורוצה לכפר על חטאו צריך לעשות מעשה בפועל לכפרה וזהו הקרבן"
116,0,"מצוות קורבן מנחה","הקרבת מנחה",1,"כהן","רצון","הקרבה",,"לחם קודש","רק כשהמקדש קיים","בירושלים","אין","אין","מעשה הקרבנות","67",,"המנחה באה לכרעת היצר"
117,0,"לא להקריב שאור או דבש","הקרבת שאור ודבש",0,"כהן","רצון","הקרבה",,"חיות","רק כשהמקדש קיים","בירושלים","מלקות","חטאת קבועה","איסורי המזבח","97",,"הטעם נעלם וקשה להסבירו,אפשר לנסות להסביר שטעם השאור,כדי שהבאת הקרבן תעשה בזריזות.וטעם הדבש לחנך את האדם להתרחק מדברים המזיקים לו."
118,0,"לא להקריב קורבן בלא מלח","מלח על הזבח",0,"כהן","עצם","הקרבה",,"בשר קודש","רק כשהמקדש קיים","בירושלים","מלקות","חטאת קבועה","איסורי המזבח","99",," חלק מהמלאכות הקרבת הקרבן שנצטוינו לעשות בפועל לכפרה על חטאינו."
119,0,"מצוות מליחת הקורבן","מלח על הזבח",1,"כהן","עצם","הקרבה",,"בשר קודש","רק כשהמקדש קיים","בירושלים","אין","אין","איסורי המזבח","62",,"להכשיר ולהישיר נפש המקריב אותו וינהג בקורבן כאילו הוא בשבילו לאכלו."
120,0,"מצוות קורבן בית דין אם טעו והורו שלא כהלכה","שגגת בית-דין",1,"שופט","ארוע",,"חטא",,"רק כשהמקדש קיים","בירושלים","אין","אין","שגגות","68",,"אם טעו ב""ד יבואו אל הבית אשר שפע השכל עליו ויעשו מעשה הקרבן וישובו אל ליבם ומתוך כך ישגיחו וישכילו בכל הוראתם לעולם."
121,0,"מצוות קורבן חטאת ליחיד ששגג במצוות לא תעשה שחייבים עליה כרת","שגגת יחיד",1,"אדם מישראל","ארוע",,"חטא",,"רק כשהמקדש קיים","בירושלים","אין","אין","שגגות","69",,"להשפיל הנפש החוטאת"
122,0,"מצוות עדות","עדות אמת",1,"גבר מישראל","ארוע",,"דיון משפטי",,"בכל זמן","בכל מקום","אין","אין","עדות","81",,"במצוה זו יש תועלת גדולה לבני אדם"
123,0,"מצוות קורבן עולה ויורד","אשם יחיד",1,"אדם מישראל","ארוע",,"חטא",,"רק כשהמקדש קיים","בכל מקום","אין","אין","שגגות","72",,"ענין הקרבן להשיב החוטא אל ליבו בכח הפעולה ויבקש מחילה מהאל על העשוי ויזהר על העתיד"
124,0,"לא להבדיל בחטאת העוף","חטאת העוף",0,"כהן","עצם","הקרבה",,"חטאת","רק כשהמקדש קיים","בכל מקום","מלקות","חטאת קבועה","מעשה הקרבנות","112",,"טעמו אינו ידוע ועלינו לעשות זאת כי כך נצטוינו, אפשר להסביר שבקרבן העני אין שחיטה כי אם מליקה כדי ללמדינו שימהר אדם בתכלית המהירות צרכו של העני."
